Date,Income/Expenditure Amount
2023-07-13,682.4440177
2024-02-28,125.251525
2024-01-12,94.60239318
2024-04-01,94.6473896
2023-12-05,376.899256
2023-10-11,156.1582673
2023-07-18,309.3394683
2024-03-18,343.4342404
2023-05-23,79.49099036
2024-03-16,94.61951579
2023-07-26,57.22092167
2023-10-16,358.8431494
2023-12-13,58.3112449
2023-12-21,151.9511276
2023-08-22,439.3686713
2023-05-14,85.8438127
2024-02-28,225.3898084
2024-02-10,84.2392072
2023-12-16,64.0844036
2023-12-23,250.8052171
2024-04-13,389.7871895
2024-01-09,148.4686333
2023-08-22,66.49177511
2023-07-29,511.2285703
2024-01-02,404.9269192
2023-05-11,124.0006075
2023-09-22,419.0749438
2023-12-07,109.5671741
2023-11-18,74.51385892
2023-10-31,178.6321526
2024-03-04,16.26725192
2023-08-30,72.67848566
2023-08-12,385.4872063
2024-03-04,175.0018241
2024-02-07,166.9166443
2023-07-01,189.8964962
2023-09-17,75.7328948
2023-08-27,37.21571413
2023-05-04,162.9232233
2024-02-12,345.5734191
2023-10-13,208.1896939
2023-10-14,431.9044834
2023-05-06,402.0748174
2024-02-11,324.98119
2023-07-04,65.04130382
2023-11-13,323.6956583
2023-10-31,95.06590797
2024-01-29,10.69590252
2024-03-09,310.1019198
2024-03-08,261.269371
2023-08-31,117.4306174
2024-04-07,87.95352893
2023-09-24,105.9764157
2023-06-16,84.38672714
2024-01-16,447.9312675
2023-07-05,215.7630673
2024-01-19,58.11401201
2023-11-20,489.4988863
2024-04-28,208.0915993
2024-03-28,134.266652
2023-08-01,409.6732082
2023-07-25,73.37088422
2023-08-06,136.941074
2023-08-21,121.0597186
2023-09-15,24.79580538
2024-04-02,519.1947739
2023-12-29,40.95847213
2023-06-02,137.8142719
2023-11-16,322.2161036
2024-01-01,664.6982958
2023-05-18,408.468653
2023-11-09,116.2867378
2023-10-07,103.3702122
2023-10-12,590.4887936
2024-01-24,186.7534239
2024-02-25,354.0792014
2023-10-16,438.7041763
2024-01-21,156.9226273
2023-12-12,287.3337219
2023-12-13,52.10797637
2024-01-26,472.4407179
2023-07-01,190.3447526
2023-12-04,498.2526332
2023-07-21,120.0344247
2024-02-21,130.7128756
2023-06-08,182.0459715
2024-03-08,430.253018
2024-03-19,69.00296042
2023-11-01,331.3690078
2024-03-02,530.215494
2024-01-20,100.3044871
2024-01-31,71.02107657
2024-03-19,170.4278553
2023-12-17,157.0776356
2024-03-19,367.9381847
2024-03-21,160.8785554
2023-08-31,62.25555249
2023-08-30,588.8521104
2024-04-28,258.8515405
2023-10-31,368.1431684
2023-07-19,633.0310724
2023-06-13,190.5805093
2023-07-18,116.758195
2024-04-01,294.0554063
2023-07-12,126.238911
2023-08-24,336.4121182
2023-05-20,513.5424588
2023-12-21,242.5694883
2023-11-04,122.6744148
2023-09-04,86.56194043
2024-04-12,63.51032074
2023-07-10,592.7535703
2024-01-25,38.85537927
2023-08-10,253.1263404
2023-10-12,412.6741814
2024-02-19,126.8122869
2023-10-02,151.3164379
2023-11-02,467.9248897
2024-04-05,194.8911414
2023-11-26,57.92665721
2024-02-05,32.40298784
2023-07-04,92.99672767
2023-12-23,596.4052389
2023-07-03,390.8406478
2023-09-30,118.7647857
2023-11-14,341.0612414
2023-10-24,56.31962378
2023-11-29,303.5638039
2024-01-27,372.482032
2023-12-03,121.5184794
2024-01-25,343.7300913
2023-09-01,73.23819086
2023-06-04,45.70786989
2023-10-28,231.0587874
2023-09-01,521.9097619
2024-02-03,661.0505703
2023-06-01,141.7302049
2024-01-25,41.45903032
2024-02-03,310.4935464
2023-11-06,125.7016858
2023-08-08,120.7393131
2024-04-22,175.4105589
2024-03-31,208.7850485
2024-01-26,10.72428932
2024-03-07,263.4313152
2023-09-13,530.3700152
2023-08-16,456.2731633
2024-03-11,290.2001543
2023-05-17,103.4597607
2024-03-29,135.6900503
2023-10-30,373.7439685
2023-12-06,71.32148442
2023-11-10,83.08471253
2023-07-20,652.4265633
2024-01-29,447.642573
2023-09-24,152.0221962
2023-11-06,633.6539261
2023-10-14,165.6341052
2023-07-15,51.30631502
2023-08-09,18.16390138
2023-08-01,168.0614484
2024-01-10,78.59385549
2023-06-22,77.42274845
2023-05-11,189.831053
2023-11-23,14.51516698
2024-04-23,72.24208707
2023-07-15,97.28459604
2023-06-11,57.41990525
2024-01-31,106.0063413
2023-09-28,21.37956027
2023-12-16,70.9580475
2024-04-25,294.9500039
2024-03-15,37.77575146
2024-03-18,135.772244
2023-09-11,101.3108697
2023-05-30,97.07012944
2024-01-12,238.0574926
2023-12-18,65.30165921
2024-01-21,480.0021306
2023-10-17,55.28848058
2023-05-19,255.0026206
2024-02-23,326.2400078
2023-09-14,395.8143497
2024-04-09,212.111364
2023-08-25,143.2395676
2024-03-14,61.09980548
2023-10-23,388.4213023
2023-11-17,108.886181
2023-08-08,319.8560305
2023-07-28,304.5646811
2023-11-02,557.4987159
2023-05-10,327.5392916
2023-07-06,95.52277394
2023-09-17,608.0669151
2024-02-15,659.1159388
2023-05-29,168.3967398
2023-07-27,56.23089857
2024-02-12,262.0110588
2023-08-15,320.5832764
2023-12-21,105.5978117
2023-11-23,75.37760892
2024-03-18,156.3076645
2024-03-14,319.9640252
2024-01-23,492.8291931
2024-02-06,178.8972368
2023-11-13,45.98651639
2023-07-08,159.237764
2024-03-18,522.891589
2024-04-03,742.6314785
2023-11-02,153.435246
2023-08-09,220.7836464
2023-08-06,57.29285485
2024-01-12,24.65716696
2023-07-22,102.9480003
2024-04-08,706.9533322
2024-04-27,105.0348866
2023-09-06,108.5929677
2023-09-03,58.93661255
2023-07-07,73.81580542
2023-06-13,102.6903964
2024-02-02,168.2248091
2023-10-06,161.4464498
2024-02-16,203.3267173
2023-05-03,186.7870475
2023-12-04,120.8575862
2023-07-17,318.584747
2023-07-14,423.4233939
2023-06-20,213.7029731
2023-09-27,881.1553999
2024-04-19,176.0682293
2024-01-06,152.469687
2023-12-05,115.2284087
2023-11-05,404.076311
2023-09-08,303.4387333
2023-12-02,618.1510801
2023-08-25,396.7295562
2023-09-27,70.77898336
2023-08-30,570.5915463
2023-06-07,223.8186381
2023-10-14,86.94056954
2024-02-14,642.0314742
2023-06-10,132.9446094
2024-03-03,525.4191508
2023-08-27,82.20322161
2024-03-17,454.770972
2024-04-21,131.8612199
2023-07-15,637.7613605
2023-08-13,520.398682
2023-06-29,70.24481569
2023-09-12,135.7641007
2023-09-13,57.87004947
2024-01-24,286.9801802
2023-05-21,139.0581385
2023-07-03,52.2895007
2023-11-01,326.9473552
2023-05-12,39.12073762
2024-01-29,311.208066
2023-10-04,222.1069379
2023-07-22,57.93146359
2023-12-12,167.8029747
2023-08-25,763.6916386
2023-09-08,342.1486139
2024-01-20,101.7206347
2023-09-13,289.3997495
2024-02-05,136.4787351
2024-04-23,485.1143076
2023-06-28,587.4493502
2024-02-05,41.39267956
2023-10-30,600.1429305
2023-07-09,47.20749355
2023-06-06,101.7183754
2023-12-29,151.3421617
2023-12-06,327.511872
2024-01-27,531.619631
2023-11-19,363.9536902
2024-01-15,22.54463015
2023-11-22,259.7539286
2024-03-19,102.1937805
2023-12-30,36.17486566
2023-12-27,639.6737093
2023-10-12,671.7541233
2023-07-26,68.78152035
2024-02-11,240.4078681
2023-05-06,340.359203
2023-08-06,404.0181957
2024-04-21,264.699368
2023-10-21,382.8033556
2023-11-03,280.7567088
2023-09-26,65.13653497
2024-02-19,122.0553094
2023-10-09,191.6044256
2023-05-03,80.94112842
2023-12-18,179.3408668
2023-12-11,503.5730949
2024-04-27,139.6940379
2024-01-25,293.89046
2024-02-26,54.61909443
2024-04-10,52.8845699
2023-07-09,430.0182018
2023-09-29,330.7714791
2023-07-06,190.399735
2024-02-25,140.7500639
2023-09-05,136.2680872
2024-03-25,505.9862603
2024-04-24,674.1609226
2023-11-07,339.7046285
2023-06-29,244.1652279
2024-02-24,199.5552016
2024-02-21,706.7472548
2024-01-15,279.6870918
2024-04-02,537.5912127
2024-03-22,116.8808198
2024-04-06,201.9696658
2024-04-13,189.3733681
2023-10-31,360.2760363
2023-06-11,154.5223331
2023-08-10,27.44631245
2023-06-29,707.0732861
2023-06-13,35.01366767
2023-08-29,308.7188821
2023-05-09,275.4216858
2024-04-21,157.9767347
2023-05-22,289.1887778
2024-04-12,28.41404554
2024-04-05,129.573034
2024-02-08,210.4560735
2023-07-22,745.6534329
2024-03-11,90.43742557
2023-10-01,481.5104394
2023-06-19,146.2362869
2023-09-21,218.1555768
2024-04-04,208.5685357
2023-06-08,675.2275512
2023-11-05,74.69419938
2023-08-08,469.2345491
2023-05-15,28.29070675
2024-02-23,65.0016769
2024-01-13,92.26797269
2023-12-25,86.02135185
2023-08-23,539.3347709
2023-09-26,207.2552349
2024-04-03,68.86707227
2023-09-13,74.10362856
2023-05-20,92.23478556
2023-08-06,193.2455822
2023-12-10,196.1021541
2023-07-05,14.77550814
2023-09-06,55.38085753
2023-07-05,525.9054844
2023-07-27,438.7899269
2023-06-03,53.49045754
2023-05-23,301.7388801
2023-10-11,425.1225106
2023-06-20,93.17789051
2023-07-18,80.79805116
2024-01-14,353.0442447
2024-03-27,193.6338898
2023-07-18,129.5908323
2023-12-08,210.9075662
2024-02-22,355.0907101
2024-02-04,74.10571283
2023-09-24,45.71218509
2023-09-27,273.9409924
2023-08-30,189.6508069
2024-02-04,46.60701243
2023-05-29,239.3364502
2023-12-16,263.8290435
2023-09-30,44.73116299
2023-07-17,17.75670452
2024-01-16,96.56813323
2023-06-05,28.48528859
2023-05-26,615.5082103
2024-01-16,465.9560318
2023-11-26,138.6170962
2024-01-02,218.3278138
2023-09-03,89.84248445
2023-05-18,209.2955441
2023-08-19,178.6228381
2023-12-17,48.42692087
2023-07-18,462.6161333
2024-04-07,332.7089465
2023-12-30,651.7580432
2024-02-06,10.8469064
2024-04-06,631.4344287
2023-07-25,401.0783474
2023-05-20,414.5075876
2023-12-03,163.1697676
2023-10-18,188.5162185
2023-05-07,112.2462159
2023-05-31,488.0319052
2023-09-22,38.56811698
2024-01-24,416.8602371
2023-05-23,84.70778605
2023-10-15,18.19187911
2023-08-14,80.05049845
2023-10-24,214.4063247
2024-02-15,32.98187727
2024-03-01,32.83736722
2023-10-25,387.8487975
2023-06-26,53.8051822
2023-08-26,85.26040222
2023-05-27,670.16557
2023-09-11,392.9198562
2023-12-22,30.07553322
2023-12-06,56.41922509
2023-07-07,342.3564934
2023-07-27,202.9591793
2024-02-20,734.0185613
2023-12-03,84.55440072
2024-02-22,36.19139704
2023-05-27,270.1709788
2024-01-13,388.2583042
2024-04-12,415.9910358
2024-03-22,128.6803213
2023-11-15,308.2594693
2024-01-27,252.0182536
2023-12-03,77.15371481
2023-08-03,68.78321614
2023-10-18,280.5868908
2023-05-29,236.3235156
2024-01-17,165.436623
2024-01-03,405.9723214
2023-07-11,72.66713107
2024-04-06,355.409182
2024-02-16,157.4595429
2023-10-13,51.43507558
2024-01-07,787.5406546
2023-09-16,771.1798145
2023-07-04,77.89498288
2024-01-21,57.30438406
2024-04-14,53.4334039
2024-03-10,147.8634318
2023-11-17,105.6570113
2024-03-07,168.5493415
2023-10-18,357.1306674
2023-10-28,149.366965
2023-05-30,545.0613478
2023-12-11,274.5220507
2024-03-10,189.145789
2023-05-06,48.38424191
2024-01-17,354.6362843
2024-02-27,114.9524347
2023-06-26,166.0515078
2024-01-29,29.10627785
2023-08-10,299.9329352
2023-07-12,372.1909622
2023-07-17,788.1135458
2023-05-27,137.5258218
2023-05-22,212.1549728
2024-01-17,63.99757701
2024-04-16,358.9409469
2024-01-02,16.02242921
2023-07-08,427.5341586
2024-01-06,84.66099133
2024-02-18,222.217774
2024-04-20,336.3632974
2023-05-17,717.5255297
2023-09-12,185.2079057
2024-03-25,186.5525666
2023-06-18,630.0776422
2023-09-02,121.3622789
2024-01-03,328.0509517
2023-12-18,182.1344745
2024-04-04,233.7902087
2024-04-24,186.8536486
2024-04-18,213.7466493
2023-07-22,107.2837538
2023-09-10,463.4870622
2023-10-27,223.4142628
2023-05-18,183.9180428
2023-11-25,266.1994388
2024-01-25,106.9117966
2023-06-23,327.7782041
2023-11-13,376.1564983
2023-09-17,215.2226682
2023-06-07,81.81842146
2024-02-28,339.4139373
2023-05-03,301.5182501
2023-12-13,270.22966
2023-12-06,82.82010763
2023-12-12,354.9399385
2024-03-05,542.4115778
2024-04-25,66.98419832
2023-07-09,50.6365282
2024-02-02,452.4067846
2023-05-11,40.49696375
2024-03-19,133.4349707
2023-12-06,148.0160474
2023-08-29,74.74936464
2023-07-18,658.6689359
2023-10-21,558.3844134
2023-10-18,19.37286553
2023-09-08,186.1314596
2024-01-28,97.18684028
2024-04-14,409.4176115
2023-05-07,315.4231888
2023-12-11,193.7958408
2023-12-15,54.41310769
2023-12-05,386.175341
2023-06-22,285.4595344
2023-10-29,333.3961153
2023-07-28,106.8054585
2023-10-14,40.29737158
2024-04-14,219.8631335
2024-03-24,119.4476055
2023-12-29,137.4565583
2023-12-12,185.7540279
2024-01-12,415.317422
2024-01-07,482.2829876
2024-01-13,312.1056613
2023-05-09,269.7432028
2023-11-12,623.4158169
2023-05-17,751.6285651
2023-10-26,293.3010768
2023-10-10,195.2633934
2023-10-23,155.7219939
2023-12-24,273.2059585
2023-11-18,164.7262145
2024-01-03,100.4515657
2023-06-15,552.4045102
2023-12-30,336.9227504
2023-10-15,68.01200664
2023-11-26,191.6272725
2023-09-15,63.63981825
2023-10-21,95.94908128
2023-09-08,416.2179135
2023-10-07,89.36294506
2024-01-14,297.0483732
2024-03-15,241.6425664
2024-04-15,121.6924358
2023-10-15,391.132212
2023-10-06,82.92841081
2023-07-01,295.6542458
2023-07-23,182.4650835
2024-03-12,152.0238452
2024-04-15,536.6588027
2023-10-10,216.2235993
2023-07-14,116.3331294
2023-09-18,286.7651921
2024-04-23,102.4523305
2023-06-13,49.58653813
2023-12-30,156.8038185
2023-09-15,16.16846216
2023-08-10,81.30138167
2023-11-05,258.2096533
2023-08-22,320.6851889
2023-12-09,334.4097152
2023-12-08,151.7808685
2023-05-24,67.01785697
2023-09-24,407.9245654
2024-03-21,83.95268168
2024-03-30,458.6112973
2024-04-24,128.1847418
2023-09-06,86.83608163
2024-04-27,159.4164996
2024-04-07,146.0978839
2024-03-06,96.69292007
2023-09-20,52.66132093
2023-06-16,88.39774416
2024-02-10,84.04826267
2023-12-13,714.5275667
2023-05-18,68.53786119
2024-01-24,112.3423774
2023-05-31,598.5278807
2024-03-25,581.0001163
2023-12-22,362.9078749
2023-11-26,91.6810899
2023-07-20,57.91683984
2023-10-03,101.8986581
2023-08-30,169.3037133
2023-12-21,194.3709375
2023-12-31,333.2743528
2023-07-20,373.2067744
2023-10-20,20.30849539
2023-09-25,33.7216082
2023-12-16,152.8519439
2024-03-15,51.02857496
2023-11-12,675.4273537
2023-07-28,162.043665
2023-12-19,312.8170441
2023-11-14,781.4964551
2024-04-14,63.63981034
2024-03-08,176.2046821
2024-04-11,89.86050706
2023-09-03,441.5318441
2023-06-03,167.6504315
2023-12-24,209.2458759
2023-10-11,305.0517543
2023-05-25,664.5579335
2024-03-01,493.5400759
2023-08-19,165.1711583
2024-01-09,467.8373756
2023-10-03,594.6928889
2024-03-28,187.0824771
2023-11-26,316.8756002
2023-12-29,188.5736182
2023-12-30,118.4602129
2023-10-07,82.93519579
2023-07-31,117.5451822
2023-08-08,71.73193559
2023-10-27,109.7581626
2024-02-15,17.59573321
2023-12-12,57.4799749
2024-02-08,315.0888596
2023-08-14,16.97607495
2024-03-10,204.0991412
2024-03-08,225.7983398
2024-03-21,690.7759031
2023-11-22,191.211471
2023-06-12,530.0232504
2024-02-02,230.4372957
2024-01-24,374.5877763
2023-09-25,132.5775826
2023-12-19,237.2722848
2023-05-01,137.8592206
2023-06-07,67.84438967
2024-03-16,284.1745593
2023-08-20,83.9837249
2023-12-06,11.17124474
2024-03-28,164.3578586
2023-09-06,437.9564306
2023-06-20,173.5790898
2024-04-20,149.8349693
2024-02-20,674.2024022
2023-11-07,38.87423948
2023-11-25,352.9486408
2023-07-14,148.7020995
2024-01-12,32.98843756
2024-03-03,326.1831515
2023-05-31,67.36810203
2024-04-21,154.6168798
2023-08-08,205.8215779
2023-05-18,97.70937001
2023-05-22,356.0539752
2024-04-13,468.4439327
2024-03-16,58.56287039
2023-05-11,523.1148264
2024-02-17,330.8688075
2023-11-23,650.4980637
2024-01-22,97.12218259
2024-04-01,82.74328681
2023-08-09,248.4719089
2023-08-14,24.16137007
2023-12-09,28.95327752
2023-12-20,157.3852482
2023-11-21,202.6836696
2024-04-25,246.6138669
2023-08-16,50.36983269
2024-02-16,206.0058437
2024-01-14,249.1140712
2023-11-02,406.9339042
2023-05-22,228.7444501
2023-04-30,307.1177374
2024-03-13,447.5812117
2024-03-22,516.0920562
2023-07-13,25.62156841
2023-06-26,560.2319843
2023-06-15,55.55427932
2023-07-22,389.8215699
2023-09-09,313.2403337
2023-09-01,42.97900079
2023-12-08,439.3187157
2024-03-18,285.0278068
2023-05-20,290.4009917
2023-06-03,85.93206962
2023-09-02,65.79910169
2024-03-16,522.1608619
2023-10-23,467.8350984
2023-08-26,115.3979177
2024-02-16,486.2297507
2023-06-21,133.5266002
2024-01-03,93.628315
2023-05-31,588.625947
2023-06-19,28.84456156
2023-05-09,443.8032635
2023-10-04,78.22644803
2024-01-08,264.5404035
2024-01-16,301.3750444
2024-04-17,602.6722744
2023-09-11,374.3074538
2023-07-14,11.51391176
2024-02-06,263.131387
2023-09-22,564.5978202
2024-02-27,35.40196496
2023-11-07,103.6894853
2024-02-05,418.8444249
2024-01-05,639.7604224
2023-11-23,137.0183888
2024-02-28,570.1317045
2024-03-11,58.95497726
2023-10-06,674.2595751
2023-12-21,160.6158768
2023-10-10,266.3485125
2024-02-07,209.9975285
2023-05-26,327.4235124
2024-02-22,112.4155486
2023-09-09,127.1791799
2024-04-17,53.1492094
2024-02-24,584.2959056
2023-07-13,176.6544224
2024-01-23,150.4422183
2023-06-02,38.48675766
2023-05-18,89.38330893
2023-10-12,155.963696
2023-10-08,584.2855358
2023-08-30,229.7845897
2023-07-09,352.0618314
2023-10-30,155.7185265
2023-05-08,281.078896
2023-08-06,177.0063206
2023-10-12,272.5906672
2023-12-02,39.49070086
2024-01-28,34.65257891
2023-06-12,415.8635626
2023-10-03,110.1924704
2024-02-13,106.6097688
2024-02-02,27.48237395
2023-05-21,91.79302908
2023-08-08,34.94789533
2023-09-14,247.3291291
2024-02-11,225.6868974
2023-09-27,18.55200915
2023-07-11,147.2634504
2023-12-09,319.7975723
2023-10-16,285.3571619
2023-12-14,316.0787139
2023-08-16,75.72091356
2024-02-04,359.7023394
2023-11-12,47.83232028
2023-11-03,82.13739557
2023-06-06,178.9658999
2023-06-20,344.4019743
2024-01-15,67.67030679
2024-04-04,31.6682655
2023-12-02,210.5968179
2023-10-02,55.23730277
2023-12-28,93.16704564
2023-09-04,40.49826386
2023-05-22,114.3821985
2024-02-26,59.08777237
2024-02-11,92.17387728
2023-07-25,334.5066786
2023-12-29,60.25952529
2024-03-12,48.62825312
2023-05-22,385.6753499
2023-07-03,34.38490192
2023-07-01,307.3509562
2023-05-29,33.3134235
2023-07-18,342.7606855
2023-07-08,405.6813897
2024-02-20,377.4237843
2023-06-17,142.0664523
2023-09-15,266.3438034
2023-09-28,172.3789428
2023-09-28,28.15848286
2024-02-09,406.7554936
2023-10-04,470.0549946
2023-12-01,52.34138173
2023-05-03,70.57397874
2023-06-29,691.4901668
2023-06-26,90.69992997
2023-07-31,332.5814213
2024-01-11,220.0931974
2023-07-08,62.73578062
2023-08-20,476.2161871
2023-10-04,513.407259
2023-06-29,317.1096065
2024-03-10,168.6264629
2023-06-28,390.0388115
2023-12-21,239.6897048
2023-11-23,147.8057252
2024-02-19,142.8495591
2024-03-03,9.754778577
2023-08-05,360.3038473
2023-05-20,79.93986057
2023-07-27,146.568801
2023-11-01,119.0022143
2023-06-01,639.8005519
2023-11-19,338.2162419
2023-08-02,239.1376027
2023-07-20,360.374965
2023-07-10,243.6525011
2024-03-26,275.316603
2023-10-27,414.2851065
2024-04-17,83.03117803
2023-09-23,644.5050257
2024-03-27,432.8536222
2024-01-17,95.72365114
2023-05-21,279.7662393
2024-02-21,56.15827065
2023-05-27,92.89387319
2023-12-28,200.5271731
2023-12-19,365.4233783
2023-08-31,116.3557134
2024-02-14,97.2964277
2024-01-19,17.18574234
2024-04-05,103.2714489
2024-04-14,56.56393446
2023-11-22,121.0725976
2023-10-04,209.8371654
2023-11-01,165.0975039
2023-10-29,251.9170393
2023-10-17,180.3427904
2023-10-23,103.8388744
2023-11-12,206.4624508
2024-03-30,476.0826329
2023-06-25,617.4870724
2023-08-09,42.20234309
2023-12-07,82.71732631
2023-12-15,135.9047514
2023-08-09,367.8372524
2023-07-13,398.2287753
2024-01-23,284.7503564
2023-07-22,10.58133716
2024-01-12,340.5752666
2023-05-09,162.8399024
2023-08-01,26.20751988
2024-03-22,46.64235113
2023-07-31,198.2813741
2023-06-07,11.11298423
2023-06-28,477.9213621
2023-08-21,609.7711584
2023-10-02,44.57629614
2023-05-10,802.9651719
2023-08-15,103.8016212
2024-01-20,539.2299784
2024-04-11,126.2989298
2023-08-10,453.573591
2024-01-09,200.9746074
2023-09-24,112.8088264
2023-10-17,269.8445503
2024-02-04,144.4508857
2024-02-25,294.4792541
2024-02-23,143.9168919
2023-09-30,125.1491635
2024-04-13,311.318688
2023-09-03,466.1110416
2023-12-10,297.5130891
2023-08-15,19.99424129
2023-05-24,19.29053845
2024-04-23,216.4329537
2023-07-24,835.6273278
2023-12-09,188.899992
2023-10-10,68.47763286
