Date,Total Sales
2021-03-26,80359.31999999999
2021-03-27,79314.31
2021-03-28,92657.86
2021-03-29,99453.09
2021-03-30,98157.05
2021-03-31,76729.35
2021-04-01,87530.47
2021-04-02,66646.87
2021-04-03,82099.23
2021-04-04,95648.53
2021-04-05,100010.44
2021-04-06,75570.19
2021-04-07,68731.19
2021-04-08,86929.53
2021-04-09,76692.24
2021-04-10,95645.61
2021-04-11,73156.55
2021-04-12,85054.51
2021-04-13,77749.15
2021-04-14,81780.84
2021-04-15,90930.45
2021-04-16,96044.98
2021-04-17,66510.54
2021-04-18,95940.38
2021-04-19,75450.95
2021-04-20,101016.71
2021-04-21,83665.69
2021-04-22,87357.5
2021-04-23,87493.13
2021-04-24,82199.53
2021-04-25,83539.89
2021-04-26,84571.29
2021-04-27,105300.52
2021-04-28,88924.36
2021-04-29,101073.6
2021-04-30,75560.75
2021-05-01,60145.25
2021-05-02,104690.38
2021-05-03,99885.05
2021-05-04,87886.19
2021-05-05,78876.13
2021-05-06,87048.01
2021-05-07,74412.28
2021-05-08,79941.5
2021-05-09,106006.86
2021-05-10,98917.2
2021-05-11,72705.43
2021-05-12,73989.58
2021-05-13,74587.37
2021-05-14,78308.83
2021-05-15,75468.94
2021-05-16,105640.88
2021-05-17,87660.70999999999
2021-05-18,75597.67
2021-05-19,101657.66
2021-05-20,76120.42
2021-05-21,98573.66
2021-05-22,95806.06
2021-05-23,85744.4
2021-05-24,105222.74
2021-05-25,74716.7
2021-05-26,84605.09
2021-05-27,93214.89
2021-05-28,77672.63
2021-05-29,66985.01
2021-05-30,84517.86
2021-05-31,95764.55
2021-06-01,108552.84999999999
2021-06-02,85947.58
2021-06-03,81851.13
2021-06-04,77988.17
2021-06-05,73556.22
2021-06-06,85329.98
2021-06-07,94444.35
2021-06-08,93906.34
2021-06-09,71916.79
2021-06-10,67179.81
2021-06-11,89998.52
2021-06-12,92454.25
2021-06-13,75180.3
2021-06-14,82616.25
2021-06-15,101596.75
2021-06-16,83213.28
2021-06-17,83023.44
2021-06-18,81713.05
2021-06-19,93233.01
2021-06-20,70110.72
2021-06-21,49377.92
2021-06-22,71616.58
2021-06-23,100289.98
2021-06-24,91106.9
2021-06-25,69213.86
2021-06-26,101655.33
2021-06-27,69504.84
2021-06-28,116177.59
2021-06-29,86624.86
2021-06-30,97859.08
2021-07-01,92245.9
2021-07-02,73172.85
2021-07-03,71036.52
2021-07-04,111259.17
2021-07-05,101194.99
2021-07-06,81207.74
2021-07-07,82123.35
2021-07-08,83730.87
2021-07-09,92301.22
2021-07-10,73875.12
2021-07-11,88467.12
2021-07-12,105007.43
2021-07-13,91509.35
2021-07-14,82630.63
2021-07-15,75261.21
2021-07-16,87245.52
2021-07-17,91981.77
2021-07-18,105207.74
2021-07-19,117423.73
2021-07-20,76254.0
2021-07-21,104012.18
2021-07-22,104155.98
2021-07-23,105086.85
2021-07-24,85164.56
2021-07-25,78784.15
2021-07-26,71945.09
2021-07-27,82852.09
2021-07-28,81190.67
2021-07-29,87607.31
2021-07-30,97953.22
2021-07-31,120580.25
2021-08-01,99447.26
2021-08-02,84505.38
2021-08-03,87715.3
2021-08-04,84880.0
2021-08-05,82874.64
2021-08-06,90709.94
2021-08-07,92653.29
2021-08-08,86676.2
2021-08-09,89541.39
2021-08-10,96385.04
2021-08-11,75601.59999999999
2021-08-12,89591.01
2021-08-13,73505.35
2021-08-14,87030.49
2021-08-15,77280.1
2021-08-16,84999.54
2021-08-17,86968.17
2021-08-18,75885.45999999999
2021-08-19,81538.61
2021-08-20,72261.13
2021-08-21,83636.13
2021-08-22,89346.73
2021-08-23,81115.69
2021-08-24,81286.2
2021-08-25,79781.16
2021-08-26,95973.52
2021-08-27,74584.41
2021-08-28,94260.16
2021-08-29,75625.29
2021-08-30,97995.73
2021-08-31,78648.4
2021-09-01,73407.53
2021-09-02,105303.0
2021-09-03,123695.47
2021-09-04,91371.22
2021-09-05,55269.31
2021-09-06,67244.75
2021-09-07,94730.95
2021-09-08,78500.97
2021-09-09,95995.72
2021-09-10,102280.94
2021-09-11,62931.44
2021-09-12,82417.9
2021-09-13,89284.33
2021-09-14,101442.35
2021-09-15,70681.14
2021-09-16,83652.57
2021-09-17,72868.79
2021-09-18,75538.68
2021-09-19,80074.13
2021-09-20,85008.51
2021-09-21,72623.08
2021-09-22,83164.58
2021-09-23,80914.31
2021-09-24,88434.31
2021-09-25,119153.95
2021-09-26,71707.45999999999
2021-09-27,83771.19
2021-09-28,108493.49
2021-09-29,66830.83
2021-09-30,63512.979999999996
2021-10-01,63888.15
2021-10-02,85703.68
2021-10-03,110152.34
2021-10-04,94148.09
2021-10-05,97962.01
2021-10-06,116833.99
2021-10-07,78931.88
2021-10-08,90516.35
2021-10-09,69200.74
2021-10-10,70690.24
2021-10-11,86498.88
2021-10-12,86123.5
2021-10-13,92171.32
2021-10-14,91993.62
2021-10-15,100818.95999999999
2021-10-16,76792.1
2021-10-17,87266.25
2021-10-18,72282.39
2021-10-19,101095.2
2021-10-20,101292.41
2021-10-21,87559.73
2021-10-22,72569.92
2021-10-23,95758.25
2021-10-24,83285.73
2021-10-25,100250.44
2021-10-26,97074.01
2021-10-27,64719.29
2021-10-28,131481.8
2021-10-29,96196.49
2021-10-30,103644.46
2021-10-31,75516.18000000001
2021-11-01,92218.64
2021-11-02,85358.65
2021-11-03,95454.56
2021-11-04,73749.76
2021-11-05,109119.95
2021-11-06,79365.37
2021-11-07,94122.59
2021-11-08,91661.06999999999
2021-11-09,70089.75
2021-11-10,90413.84
2021-11-11,77499.45
2021-11-12,89461.23
2021-11-13,80474.65
2021-11-14,92666.81
2021-11-15,92723.14
2021-11-16,103562.49
2021-11-17,80429.71
2021-11-18,59881.24
2021-11-19,80180.13
2021-11-20,78803.03
2021-11-21,71221.19
2021-11-22,97576.18
2021-11-23,83021.95999999999
2021-11-24,97168.58
2021-11-25,77095.51
2021-11-26,70058.47
2021-11-27,84759.41
2021-11-28,82358.18
2021-11-29,74076.95999999999
2021-11-30,92579.85
2021-12-01,73784.47
2021-12-02,70120.49
2021-12-03,96042.81
2021-12-04,92784.27
2021-12-05,69321.31
2021-12-06,80375.66
2021-12-07,83338.15
2021-12-08,93449.31
2021-12-09,83132.01
2021-12-10,71510.83
2021-12-11,119632.11
2021-12-12,76857.95
2021-12-13,92834.42
2021-12-14,103648.8
2021-12-15,78135.93
2021-12-16,89030.72
2021-12-17,76007.19
2021-12-18,78578.62
2021-12-19,80042.76
2021-12-20,90494.77
2021-12-21,74673.4
2021-12-22,88808.37
2021-12-23,91273.34
2021-12-24,80175.81999999999
2021-12-25,74820.57
2021-12-26,80993.9
2021-12-27,68311.84999999999
2021-12-28,89629.48
2021-12-29,100002.91
2021-12-30,90238.14
2021-12-31,81677.2
2022-01-01,54641.85
2022-01-02,89515.47
2022-01-03,83867.06
2022-01-04,84782.87
2022-01-05,69244.75
2022-01-06,83868.63
2022-01-07,118814.45
2022-01-08,69603.04
2022-01-09,81691.67
2022-01-10,74208.03
2022-01-11,95487.85
2022-01-12,88254.01
2022-01-13,70151.72
2022-01-14,85189.95999999999
2022-01-15,96566.1
2022-01-16,67903.09
2022-01-17,86145.01
2022-01-18,96149.8
2022-01-19,101532.17
2022-01-20,95084.19
2022-01-21,105714.81999999999
2022-01-22,112541.05
2022-01-23,88799.01
2022-01-24,91872.76
2022-01-25,95737.19
2022-01-26,68317.45
2022-01-27,70385.4
2022-01-28,92124.39
2022-01-29,86064.75
2022-01-30,74738.08
2022-01-31,77153.34
2022-02-01,94588.16
2022-02-02,94788.99
2022-02-03,67794.37
2022-02-04,64649.0
2022-02-05,110251.66
2022-02-06,73654.56
2022-02-07,105811.27
2022-02-08,64034.34
2022-02-09,75860.81999999999
2022-02-10,82162.09
2022-02-11,91519.11
2022-02-12,66077.12
2022-02-13,84105.67
2022-02-14,93194.75
2022-02-15,98855.28
2022-02-16,81271.22
2022-02-17,70556.89
2022-02-18,100859.76
2022-02-19,88931.63
2022-02-20,75107.84999999999
2022-02-21,104191.83
2022-02-22,85135.2
2022-02-23,93290.59
2022-02-24,79911.72
2022-02-25,76142.21
2022-02-26,72027.09
2022-02-27,54280.1
2022-02-28,69147.8
2022-03-01,99442.14
2022-03-02,65865.47
2022-03-03,84481.2
2022-03-04,81861.84
2022-03-05,68055.7
2022-03-06,105997.42
2022-03-07,65607.56
2022-03-08,73166.76
2022-03-09,72361.18
2022-03-10,115467.31
2022-03-11,86774.33
2022-03-12,113376.77
2022-03-13,77035.58
2022-03-14,97511.91
2022-03-15,79488.92
2022-03-16,97786.91
2022-03-17,84945.89
2022-03-18,74706.35
2022-03-19,99013.9
2022-03-20,86431.86
2022-03-21,85260.15
2022-03-22,99557.81
2022-03-23,89716.01
2022-03-24,90197.69
2022-03-25,104086.21
2022-03-26,98921.01
2022-03-27,99085.42
2022-03-28,93520.1
2022-03-29,63973.759999999995
2022-03-30,84856.67
2022-03-31,66636.93
2022-04-01,75285.05
2022-04-02,78923.01
2022-04-03,91768.73
2022-04-04,73931.42
2022-04-05,75667.0
2022-04-06,83193.67
2022-04-07,90760.05
2022-04-08,77146.56
2022-04-09,58109.159999999996
2022-04-10,69520.86
2022-04-11,109895.14
2022-04-12,78459.0
2022-04-13,99798.99
2022-04-14,94106.03
2022-04-15,93549.41
2022-04-16,93774.8
2022-04-17,61904.92
2022-04-18,78587.83
2022-04-19,79294.68
2022-04-20,80380.29
2022-04-21,104128.06
2022-04-22,89913.67
2022-04-23,96591.89
2022-04-24,109369.4
2022-04-25,75335.09
2022-04-26,76464.0
2022-04-27,76531.19
2022-04-28,67987.92
2022-04-29,95768.93
2022-04-30,107506.39
2022-05-01,90635.49
2022-05-02,109046.62
2022-05-03,80037.05
2022-05-04,92053.56999999999
2022-05-05,77986.51
2022-05-06,92080.4
2022-05-07,66700.91
2022-05-08,88625.17
2022-05-09,90251.20999999999
2022-05-10,89380.93
2022-05-11,91884.79
2022-05-12,98937.38
2022-05-13,78923.87
2022-05-14,74232.14
2022-05-15,83483.3
2022-05-16,122705.03
2022-05-17,90103.08
2022-05-18,102554.09999999999
2022-05-19,93076.79
2022-05-20,83463.24
2022-05-21,76583.38
2022-05-22,77019.89
2022-05-23,62002.35
2022-05-24,104269.55
2022-05-25,85621.0
2022-05-26,91892.06999999999
2022-05-27,61755.67
2022-05-28,82658.18
2022-05-29,87833.36
2022-05-30,90237.44
2022-05-31,68522.42
2022-06-01,85776.3
2022-06-02,80366.37
2022-06-03,87375.89
2022-06-04,80209.24
2022-06-05,81952.16
2022-06-06,86206.91
2022-06-07,86181.66
2022-06-08,107600.27
2022-06-09,93322.23
2022-06-10,88677.35
2022-06-11,62401.97
2022-06-12,83170.36
2022-06-13,88375.95
2022-06-14,68629.85
2022-06-15,71232.41
2022-06-16,81405.37
2022-06-17,96301.63
2022-06-18,102586.91
2022-06-19,57137.13
2022-06-20,95091.37
2022-06-21,91107.38
2022-06-22,78914.56
2022-06-23,98232.61
2022-06-24,74248.09
2022-06-25,84019.93
2022-06-26,104147.36
2022-06-27,111787.53
2022-06-28,96959.17
2022-06-29,91279.04
2022-06-30,98409.01
2022-07-01,100822.93
2022-07-02,83074.44
2022-07-03,94350.99
2022-07-04,90783.28
2022-07-05,96726.5
2022-07-06,78114.55
2022-07-07,88179.7
2022-07-08,98268.25
2022-07-09,94367.44
2022-07-10,82883.09
2022-07-11,100706.14
2022-07-12,100476.98
2022-07-13,75572.27
2022-07-14,108433.12
2022-07-15,79527.67
2022-07-16,79712.76
2022-07-17,85246.63
2022-07-18,83557.38
2022-07-19,79520.48
2022-07-20,89476.86
2022-07-21,74927.67
2022-07-22,71970.42
2022-07-23,69199.88
2022-07-24,82888.41
2022-07-25,117885.81
2022-07-26,98851.34
2022-07-27,103054.37
2022-07-28,96339.49
2022-07-29,71528.84
2022-07-30,90414.24
2022-07-31,82693.06
2022-08-01,79542.68
2022-08-02,72506.5
2022-08-03,85427.83
2022-08-04,89913.44
2022-08-05,106684.78
2022-08-06,81095.42
2022-08-07,84082.06
2022-08-08,105190.39
2022-08-09,103683.76
2022-08-10,98014.73
2022-08-11,68193.91
2022-08-12,81405.78
2022-08-13,88329.31999999999
2022-08-14,97697.36
2022-08-15,85644.72
2022-08-16,93682.74
2022-08-17,107648.06
2022-08-18,73922.65
2022-08-19,74993.02
2022-08-20,48241.6
2022-08-21,76532.26
2022-08-22,92930.73
2022-08-23,90555.25
2022-08-24,75518.54
2022-08-25,78834.3
2022-08-26,86735.56999999999
2022-08-27,72656.48
2022-08-28,70472.33
2022-08-29,85798.54
2022-08-30,89516.54
2022-08-31,92787.42
2022-09-01,76108.79
2022-09-02,89106.3
2022-09-03,66172.51
2022-09-04,99228.26
2022-09-05,82947.91
2022-09-06,96798.64
2022-09-07,74831.53
2022-09-08,74479.15
2022-09-09,93564.62
2022-09-10,91569.92
2022-09-11,87573.04
2022-09-12,97456.6
2022-09-13,104294.37
2022-09-14,73012.78
2022-09-15,89416.22
2022-09-16,88477.89
2022-09-17,100521.24
2022-09-18,90057.7
2022-09-19,79125.09999999999
2022-09-20,84507.88
2022-09-21,78071.78
2022-09-22,71618.68
2022-09-23,101225.53
2022-09-24,77420.79
2022-09-25,119492.2
2022-09-26,88973.27
2022-09-27,87919.70999999999
2022-09-28,81913.13
2022-09-29,65811.26
2022-09-30,73211.59
2022-10-01,88691.88
2022-10-02,100050.81999999999
2022-10-03,95061.85
2022-10-04,81544.58
2022-10-05,84145.74
2022-10-06,94349.23
2022-10-07,60326.2
2022-10-08,80812.98
2022-10-09,89536.27
2022-10-10,79817.97
2022-10-11,110378.5
2022-10-12,102206.31
2022-10-13,75700.16
2022-10-14,95213.29
2022-10-15,106308.69
2022-10-16,95222.73
2022-10-17,106660.17
2022-10-18,61082.19
2022-10-19,113096.22
2022-10-20,70883.99
2022-10-21,86500.9
2022-10-22,91041.78
2022-10-23,91369.12
2022-10-24,79338.48
2022-10-25,83060.82
2022-10-26,89691.02
2022-10-27,97228.86
2022-10-28,118495.17
2022-10-29,72050.79
2022-10-30,74365.46
2022-10-31,81607.52
2022-11-01,81372.88
2022-11-02,104568.31999999999
2022-11-03,95464.26
2022-11-04,81758.83
2022-11-05,102737.47
2022-11-06,85652.67
2022-11-07,78698.31
2022-11-08,91193.56999999999
2022-11-09,93100.93
2022-11-10,74722.77
2022-11-11,77758.56
2022-11-12,85876.31
2022-11-13,77983.15
2022-11-14,71499.68
2022-11-15,77602.74
2022-11-16,81389.61
2022-11-17,98866.23
2022-11-18,69196.37
2022-11-19,65343.52
2022-11-20,78379.49
2022-11-21,97250.42
2022-11-22,62448.509999999995
2022-11-23,71312.6
2022-11-24,64109.96
2022-11-25,68556.70999999999
2022-11-26,82608.95
2022-11-27,71822.44
2022-11-28,100078.56
2022-11-29,86088.09
2022-11-30,70546.85
2022-12-01,111587.26
2022-12-02,84425.37
2022-12-03,83032.53
2022-12-04,88061.11
2022-12-05,106627.41
2022-12-06,85028.08
2022-12-07,88372.66
2022-12-08,63845.52
2022-12-09,95317.23
2022-12-10,92252.24
2022-12-11,100866.59
2022-12-12,80463.52
2022-12-13,70728.12
2022-12-14,65837.97
2022-12-15,80375.09
2022-12-16,63544.72
2022-12-17,94979.67
2022-12-18,98806.21
2022-12-19,89468.42
2022-12-20,87158.81
2022-12-21,72131.84
2022-12-22,94815.78
2022-12-23,91702.18
2022-12-24,56965.3
2022-12-25,91951.95
2022-12-26,73242.01
2022-12-27,102077.58
2022-12-28,86637.3
2022-12-29,111360.98
2022-12-30,88020.06
2022-12-31,75754.29000000001
2023-01-01,109827.14
2023-01-02,76397.74
2023-01-03,92026.5
2023-01-04,86861.49
2023-01-05,90501.53
2023-01-06,93765.52
2023-01-07,108741.41
2023-01-08,78946.81999999999
2023-01-09,92705.29
2023-01-10,95298.22
2023-01-11,78151.59
2023-01-12,72619.18
2023-01-13,91286.84
2023-01-14,80825.06
2023-01-15,80808.93
2023-01-16,84143.59
2023-01-17,85714.37
2023-01-18,59789.17
2023-01-19,83162.06
2023-01-20,80259.97
2023-01-21,83063.02
2023-01-22,84368.98
2023-01-23,94619.64
2023-01-24,82123.03
2023-01-25,58463.22
2023-01-26,80402.64
2023-01-27,82967.19
2023-01-28,81886.47
2023-01-29,94900.48
2023-01-30,79584.19
2023-01-31,75842.61
2023-02-01,78041.22
2023-02-02,109429.08
2023-02-03,69701.6
2023-02-04,81934.75
2023-02-05,84074.6
2023-02-06,96684.62
2023-02-07,84012.35
2023-02-08,81840.07
2023-02-09,102290.77
2023-02-10,112480.58
2023-02-11,63893.549999999996
2023-02-12,81093.49
2023-02-13,110575.39
2023-02-14,105520.33
2023-02-15,79649.45999999999
2023-02-16,69005.09999999999
2023-02-17,84817.83
2023-02-18,97619.39
2023-02-19,79936.94
2023-02-20,110513.91
2023-02-21,111473.95999999999
2023-02-22,90832.44
2023-02-23,83001.24
2023-02-24,110933.66
2023-02-25,96074.03
2023-02-26,97283.15
2023-02-27,108143.15
2023-02-28,77603.24
2023-03-01,64841.12
2023-03-02,76960.06999999999
2023-03-03,84548.4
2023-03-04,108199.45
2023-03-05,82844.41
2023-03-06,111230.13
2023-03-07,63766.67
2023-03-08,91331.06
